Páratartalom [%]	D1	D2	D3	D4	D5	D6	D7	D8	L1	L2	L3	L4	L5	L6	L7	L8	Méretszám	Idő különbség [perc]	Megerősített?
55	3	3	3	0	1728	2584	43	0	2584	1728	43	3	3	3	0	0	4364	1,8	0
55	0	2343	1071	0	1	2	2	2	2343	1071	2	2	2	1	0	0	3421	3,9	0
60	0	37	2946	215	0	2	2	2	2946	215	37	2	2	2	0	0	3204	4	0
55	0	2428	1055	0	4	4	4	5	2428	1055	5	4	4	4	0	0	3500	4,5	0
60	0	0	2950	405	1	3	5	5	2950	405	5	5	3	1	0	0	3369	3,8	0
55	0	2466	1169	2	6	5	7	6	2466	1169	7	6	6	5	2	0	3661	3,1	0
60	0	403	2718	486	0	3	4	3	2718	486	403	4	3	3	0	0	3617	1,2	0
60	0	36	2605	391	0	1	2	3	2605	391	36	3	2	1	0	0	3038	1,5	0
60	0	39	2621	676	0	3	3	3	2621	676	39	3	3	3	0	0	3345	1,1	0
55	0	2592	1287	3	3	4	3	4	2592	1287	4	4	3	3	3	0	3896	1,2	0
60	0	118	1539	364	1	2	2	2	1539	364	118	2	2	2	1	0	2028	1,1	0
55	0	2503	1272	2	2	2	4	3	2503	1272	4	3	2	2	2	0	3788	1,4	0
60	0	232	2574	119	0	3	4	2	2574	232	119	4	3	2	0	0	2934	1,4	0
55	6	2634	1052	18	6	6	8	6	2634	1052	18	8	6	6	6	6	3736	1	0
60	2	347	2797	54	2	3	1	3	2797	347	54	3	3	2	2	1	3209	1	0
55	6	2585	1553	26	5	5	4	3	2585	1553	26	6	5	5	4	3	4187	1	0
60	0	98	2431	46	3	3	4	3	2431	98	46	4	3	3	3	0	2588	1	0
55	2	1	1	0	1040	2314	0	0	2314	1040	2	1	1	0	0	0	3358	11,1	0
60	0	184	1973	2	1	3	2	2	1973	184	3	2	2	2	1	0	2167	1	0
60	1871	1760	0	1	2	4	2	2	1871	1760	4	2	2	2	1	0	3642	2,4	1
60	4	2	0	1855	52	3	2	2	1855	52	4	3	2	2	2	0	1920	27,2	1
55	3	5	6	3	4276	1338	2	4	4276	1338	6	5	4	3	3	2	5637	5,3	0
55	2	2	4	40	1955	2153	0	2	2153	1955	40	4	2	2	2	0	4158	15,6	0
59	2	4	2	2	545	3162	936	1	3162	936	545	4	2	2	2	1	4654	52,4	1
55	2	0	8	2388	1961	5	6	3	2388	1961	8	6	5	3	2	0	4373	6,6	0
55	3	0	55	2759	48	1	3	2	2759	55	48	3	3	2	1	0	2871	3	0
55	0	0	2192	1625	1	0	2	3	2192	1625	3	2	1	0	0	0	3823	4,2	0
54	15	305	1637	1716	1785	362	7	3	1785	1716	1637	362	305	15	7	3	5830	22,7	0
54	4	1	0	638	3140	2235	1	2	3140	2235	638	4	2	1	1	0	6021	4,1	1
54	5	2	0	1561	3990	0	5	7	3990	1561	7	5	5	2	0	0	5570	17,1	1
59	1	0	119	1802	0	1	2	2	1802	119	2	2	1	1	0	0	1927	54	1
54	2	0	2223	3240	44	8	9	6	3240	2223	44	9	8	6	2	0	5532	29,2	1
54	3	2	3	2	3	8	1678	928	1678	928	8	3	3	3	2	2	2627	1,6	1
54	2	2	3	1	1	1084	3770	167	3770	1084	167	3	2	2	1	1	5030	1,3	1
54	2	1	0	0	382	2541	134	1	2541	382	134	2	1	1	0	0	3061	10,1	1
54	1	0	2550	2	4	5	4	3	2550	5	4	4	3	2	1	0	2569	8,2	1
59	3	3	2	70	2773	0	2	5	2773	70	5	3	3	2	2	0	2858	50,3	1
54	3	2	1	1	2296	2869	11	2	2869	2296	11	3	2	2	1	1	5185	16,7	1
54	1	3	1142	4346	186	2	2	4	4346	1142	186	4	3	2	2	1	5686	5,3	1
54	1	5	2	5	5	507	3144	0	3144	507	5	5	5	2	1	0	3669	11,2	1
54	1	0	0	2725	1021	0	2	3	2725	1021	3	2	1	0	0	0	3752	38,1	1
58	1	0	1	2	0	1567	2116	0	2116	1567	2	1	1	0	0	0	3687	8,9	1
58	2	3	1	115	2581	0	4	4	2581	115	4	4	3	2	1	0	2710	26,7	1
54	1	1	1	38	948	2215	87	1	2215	948	87	38	1	1	1	1	3292	2,3	1
54	3	0	6	919	2885	635	1	2	2885	919	635	6	3	2	1	0	4451	6,9	1
54	4	9	0	3375	1847	8	10	4	3375	1847	10	9	8	4	4	0	5257	10	1
57	0	832	3196	460	0	1	2	3	3196	832	460	3	2	1	0	0	4494	19,5	1
54	4	0	2366	9	8	9	9	20	2366	20	9	9	9	8	4	0	2425	2,6	1
54	2	3	4	4	1	819	3926	0	3926	819	4	4	3	2	1	0	4759	2,7	1
54	1	0	0	284	2792	170	0	1	2792	284	170	1	1	0	0	0	3248	13,4	1
57	0	310	2347	0	1	3	2	1	2347	310	3	2	1	1	0	0	2664	2,1	1
57	0	0	0	297	1995	1	0	0	1995	297	1	0	0	0	0	0	2293	14,5	1
54	0	0	1826	2593	35	1	3	4	2593	1826	35	4	3	1	0	0	4462	5,9	1
54	0	0	638	4264	28	0	3	7	4264	638	28	7	3	0	0	0	4940	2,2	1
54	0	2	2544	799	0	1	0	2	2544	799	2	2	1	0	0	0	3348	4,3	1
57	0	2049	2028	67	1	2	2	5	2049	2028	67	5	2	2	1	0	4154	30,6	1
54	1	1	1	18	2468	2149	202	0	2468	2149	202	18	1	1	1	0	4840	10	1
54	3	3	5	7	0	0	3232	1	3232	7	5	3	3	1	0	0	3251	1,9	1
54	3	0	0	0	1302	2578	323	0	2578	1302	323	3	0	0	0	0	4206	8,5	1
54	4	6	5	3	0	2722	0	5	2722	6	5	5	4	3	0	0	2745	40,1	1
