Páratartalom [%]	D1	D2	D3	D4	D5	D6	D7	D8	L1	L2	L3	L4	L5	L6	L7	L8	Méretszám	Idő különbség [perc]	Megerősített?
59	0	0	0	0	2133	918	0	0	2133	918	0	0	0	0	0	0	3051	1288	1
63	1550	1086	49	0	0	0	0	0	1550	1086	49	0	0	0	0	0	2685	8,3	1
64	0	0	0	0	0	1407	0	0	1407	0	0	0	0	0	0	0	1407	17,6	1
63	4367	4087	0	0	0	0	0	0	4367	4087	0	0	0	0	0	0	8454	26,2	1
63	0	0	0	0	3859	2648	0	9	3859	2648	9	0	0	0	0	0	6516	7,1	1
63	0	1462	2490	0	0	0	0	0	2490	1462	0	0	0	0	0	0	3952	8,3	1
63	4	0	0	77	4622	0	0	2	4622	77	4	2	0	0	0	0	4705	10,9	1
63	2	0	0	0	22	2284	0	0	2284	22	2	0	0	0	0	0	2308	4,5	1
63	2	1	0	0	215	2554	0	0	2554	215	2	1	0	0	0	0	2772	940,7	1
51	4	5	2	2	5	444	2205	0	2205	444	5	5	4	2	2	0	2667	1403,8	1
63	3	2	3	1	308	2695	143	0	2695	308	143	3	3	2	1	0	3155	70,3	1
63	0	0	46	2621	168	0	0	0	2621	168	46	0	0	0	0	0	2835	239	1
62	1095	1534	1863	1954	1763	1768	1959	1491	1959	1954	1863	1768	1763	1534	1491	1095	13427	4,7	0
62	913	1290	1605	1720	1583	1567	1618	1204	1720	1618	1605	1583	1567	1290	1204	913	11500	71,8	0
61	1441	1440	1786	1561	1454	1303	1043	893	1786	1561	1454	1441	1440	1303	1043	893	10921	41	0
61	1094	1519	1762	1818	1686	1623	1532	1179	1818	1762	1686	1623	1532	1519	1179	1094	12213	21,4	0
63	0	0	0	0	396	2782	0	0	2782	396	0	0	0	0	0	0	3178	70,7	1
61	735	1050	1303	1371	1199	1137	1089	851	1371	1303	1199	1137	1089	1050	851	735	8735	39,5	0
60	989	1387	1595	1547	1351	1266	1152	889	1595	1547	1387	1351	1266	1152	989	889	10176	2571,1	0
65	0	0	1346	2638	250	0	0	0	2638	1346	250	0	0	0	0	0	4234	18	1
65	0	0	0	0	1145	2472	145	0	2472	1145	145	0	0	0	0	0	3762	1076,1	1
50	158	732	1484	479	285	87	8	6	1484	732	479	285	158	87	8	6	3239	187,8	0
52	3	0	294	2021	686	34	3	3	2021	686	294	34	3	3	3	0	3044	280,3	1
51	4	5	1	1	962	2102	26	1	2102	962	26	5	4	1	1	1	3102	375,7	0
50	6	0	0	0	2	2	784	1902	1902	784	6	2	2	0	0	0	2696	221	0
65	0	0	2400	2107	7	0	0	0	2400	2107	7	0	0	0	0	0	4514	234,4	1
49	1	1746	1520	127	37	18	6	2	1746	1520	127	37	18	6	2	1	3457	749,9	0
64	2054	1853	2130	1813	1810	1568	1242	1079	2130	2054	1853	1813	1810	1568	1242	1079	13549	1055,9	0
52	2	3	1	2	0	90	1745	522	1745	522	90	3	2	2	1	0	2365	288,1	0
51	1	3	0	0	1318	2	4	2	1318	4	3	2	2	1	0	0	1330	326,6	0
65	4	5	4	6	6	0	92	1671	1671	92	6	6	5	4	4	0	1788	75,8	1
65	0	917	2897	6	1	2	0	1	2897	917	6	2	1	1	0	0	3824	79,1	1
49	3	4	3	1	28	2027	2580	351	2580	2027	351	28	4	3	3	1	4997	396,5	1
65	2	0	0	0	2271	786	2	3	2271	786	3	2	2	0	0	0	3064	51,4	1
66	0	0	0	1309	71	0	0	0	1309	71	0	0	0	0	0	0	1380	13,3	1
