Ora,Paratartalom,Homerseklet,D1,D2,D3,D4,D5,D6,D7,D8,L1,L2,L3,L4,L5,L6,L7,L8,Meretszam,Idokulonbseg,Megerositett
17,60,2726,0,0,0,0,1863,3175,114,0,3175,1863,114,0,0,0,0,0,5152,850,1
14,61,2884,56,272,542,899,1408,1059,1079,490,1408,1079,1059,899,542,490,272,56,5805,10340,0
4,54,1588,0,2599,726,3,2,3,3,4,2599,726,4,3,3,3,2,0,3340,960,0
0,76,1775,2031,45,3,6,7,5,3,5,2031,45,7,6,5,5,3,3,2105,110,0
19,47,2458,0,0,0,0,0,824,0,0,824,0,0,0,0,0,0,0,824,6330,0
7,65,2221,0,0,2436,818,113,1,0,1,2436,818,113,1,1,0,0,0,3369,180,1
6,67,1844,36,2697,2283,34,10,10,9,8,2697,2283,36,34,10,10,9,8,5087,180,0
15,62,3646,41,146,244,390,624,712,1038,682,1038,712,682,624,390,244,146,41,3877,360,0
18,53,2096,3,4,6,4,2,1,1855,3,1855,6,4,4,3,3,2,1,1878,680,0
12,48,4008,0,0,1085,69,0,0,3,1,1085,69,3,1,0,0,0,0,1158,3830,0
17,52,3407,0,0,0,3867,0,0,0,0,3867,0,0,0,0,0,0,0,3867,8290,1
7,60,2084,0,0,24,15,173,3920,788,0,3920,788,173,24,15,0,0,0,4920,920,1
12,66,3540,0,0,2872,0,0,0,0,2,2872,2,0,0,0,0,0,0,2874,970,1
10,59,2810,0,0,422,2533,2321,134,2,0,2533,2321,422,134,2,0,0,0,5412,120,0
7,59,2308,0,0,101,2778,2407,0,0,0,2778,2407,101,0,0,0,0,0,5286,260,1
11,56,3341,278,852,1542,1989,2539,1359,653,137,2539,1989,1542,1359,852,653,278,137,9349,280,0
10,61,2504,0,1202,0,0,0,3,0,0,1202,3,0,0,0,0,0,0,1205,6510,0
20,62,2317,2,7,86,1094,1489,87,27,2,1489,1094,87,86,27,7,2,2,2794,1290,1
18,61,2545,0,0,174,3255,725,0,0,3,3255,725,174,3,0,0,0,0,4157,2560,1
15,59,3397,8,15,611,2583,856,96,20,18,2583,856,611,96,20,18,15,8,4207,630,0
8,53,2091,0,0,379,2846,343,0,1,1,2846,379,343,1,1,0,0,0,3570,240,1
12,57,2422,1870,0,0,0,1,1,1,3,1870,3,1,1,1,0,0,0,1876,7130,1
11,60,3246,0,0,1348,0,0,0,0,0,1348,0,0,0,0,0,0,0,1348,1780,1
8,55,1375,1951,0,0,0,1,1,2,0,1951,2,1,1,0,0,0,0,1955,570,0
13,73,2247,0,0,0,2333,32,0,0,0,2333,32,0,0,0,0,0,0,2365,480,1
1,65,1752,0,1051,1004,6,2,2,2,1,1051,1004,6,2,2,2,1,0,2068,130,0
9,55,2510,0,0,743,2714,15,0,0,0,2714,743,15,0,0,0,0,0,3472,820,1
13,72,1907,0,2893,932,8,31,16,15,9,2893,932,31,16,15,9,8,0,3904,230,0
16,64,2999,0,658,4448,257,0,1,1,0,4448,658,257,1,1,0,0,0,5365,9580,1
5,57,1809,2,1,2,1,0,655,1857,0,1857,655,2,2,1,1,0,0,2518,330,0
16,59,3234,0,0,18,4088,0,0,0,5,4088,18,5,0,0,0,0,0,4111,220,1
9,53,2773,0,1432,717,0,4,11,8,2,1432,717,11,8,4,2,0,0,2174,1150,1
9,62,2893,1210,1243,2090,1905,1614,1295,1164,737,2090,1905,1614,1295,1243,1210,1164,737,11258,1640,0
10,77,2589,0,64,3046,31,13,4,4,0,3046,64,31,13,4,4,0,0,3162,1150,1
10,57,3153,0,0,0,0,2747,0,0,0,2747,0,0,0,0,0,0,0,2747,890,1
6,73,1829,1082,1886,31,2,5,4,4,3,1886,1082,31,5,4,4,3,2,3017,140,0
10,54,3817,0,0,0,2080,2720,1508,0,3,2720,2080,1508,3,0,0,0,0,6311,4820,0
12,61,3256,0,0,0,0,0,997,1602,0,1602,997,0,0,0,0,0,0,2599,800,1
4,57,1832,2,2,2,2,0,317,1789,0,1789,317,2,2,2,2,0,0,2114,6800,0
11,70,2310,0,0,2824,939,0,0,0,0,2824,939,0,0,0,0,0,0,3763,2040,1
16,60,3182,2,3,0,0,0,532,2130,0,2130,532,3,2,0,0,0,0,2667,1030,1
11,46,3582,56,1281,6,83,59,58,59,48,1281,83,59,59,58,56,48,6,1650,28460,0
23,61,1759,4,3,2,1,0,0,2798,2643,2798,2643,4,3,2,1,0,0,5451,180,0
13,47,3146,0,0,2,1,0,232,3282,212,3282,232,212,2,1,0,0,0,3729,27370,1
20,59,1522,3,4,1,2,432,2873,111,0,2873,432,111,4,3,2,1,0,3426,1670,1
17,71,2517,0,0,12,2698,2154,5,7,3,2698,2154,12,7,5,3,0,0,4879,400,1
15,52,3655,10,13,23,25,93,439,1530,1330,1530,1330,439,93,25,23,13,10,3463,21780,1
17,80,2733,0,462,2014,0,0,0,0,1,2014,462,1,0,0,0,0,0,2477,530,1
4,59,1521,0,2696,1209,2,4,5,3,3,2696,1209,5,4,3,3,2,0,3922,110,0
2,64,1722,1,109,3656,1140,1,5,3,4,3656,1140,109,5,4,3,1,1,4919,5820,1
9,54,2243,90,78,100,106,72,67,377,1554,1554,377,106,100,90,78,72,67,2444,220,0
9,60,2462,0,0,0,48,2720,800,0,0,2720,800,48,0,0,0,0,0,3568,520,1
14,80,2835,0,0,1855,1484,0,0,0,0,1855,1484,0,0,0,0,0,0,3339,2590,1
6,67,1713,5,1930,1965,11,5,3,4,3,1965,1930,11,5,5,4,3,3,3926,290,0
9,60,2246,0,0,2036,0,0,0,0,1,2036,1,0,0,0,0,0,0,2037,3360,1
17,65,2575,0,0,2400,2107,7,0,0,0,2400,2107,7,0,0,0,0,0,4514,23440,1
10,59,3202,128,585,1119,1723,1327,1669,927,216,1723,1669,1327,1119,927,585,216,128,7694,170,0
