Ora,Paratartalom,Homerseklet,D1,D2,D3,D4,D5,D6,D7,D8,L1,L2,L3,L4,L5,L6,L7,L8,Meretszam,Idokulonbseg,Megerositett
22,58,2149,0,0,142,1452,0,0,0,2,1452,142,2,0,0,0,0,0,1596,1920,1
19,68,2194,0,94,2797,3009,593,12,7,4,3009,2797,593,94,12,7,4,0,6516,3180,1
7,65,2134,1,1658,1829,318,15,0,3,0,1829,1658,318,15,3,1,0,0,3824,230,1
8,59,2347,0,0,0,5,1575,0,0,0,1575,5,0,0,0,0,0,0,1580,150,1
9,59,2741,0,0,0,0,1864,787,0,0,1864,787,0,0,0,0,0,0,2651,400,1
18,52,2125,0,1,3,8,1159,2742,871,0,2742,1159,871,8,3,1,0,0,4784,1110,0
16,88,2793,2,2,629,7,11,0,0,4,629,11,7,4,2,2,0,0,655,110,0
0,56,1980,3,0,579,2840,289,1,5,4,2840,579,289,5,4,3,1,0,3721,260,0
16,70,2892,14,154,572,2491,916,292,81,21,2491,916,572,292,154,81,21,14,4541,890,0
10,60,2982,25,116,366,508,663,1051,1369,529,1369,1051,663,529,508,366,116,25,4627,3370,0
7,51,2691,0,0,0,1032,2491,2341,637,0,2491,2341,1032,637,0,0,0,0,6501,480,0
18,64,2570,1,3,2,18,777,2708,0,0,2708,777,18,3,2,1,0,0,3509,1400,1
14,70,3259,0,0,0,3120,795,0,0,0,3120,795,0,0,0,0,0,0,3915,430,1
11,62,3595,1149,1584,413,261,143,57,49,17,1584,1149,413,261,143,57,49,17,3673,1130,0
19,69,2027,1,1,0,634,2553,0,0,0,2553,634,1,1,0,0,0,0,3189,2040,1
21,59,1417,2,2,1,0,316,2785,0,0,2785,316,2,2,1,0,0,0,3106,260,1
9,68,1792,0,2055,45,0,2,2,2,1,2055,45,2,2,2,1,0,0,2107,170,0
18,54,2846,0,0,0,2580,46,0,0,0,2580,46,0,0,0,0,0,0,2626,380,1
12,64,3218,0,0,867,2948,952,5,1,0,2948,952,867,5,1,0,0,0,4773,2860,1
16,58,3681,7,26,101,283,469,2350,288,49,2350,469,288,283,101,49,26,7,3573,380,0
12,55,3833,246,556,626,1654,654,500,348,139,1654,654,626,556,500,348,246,139,4723,390,0
18,55,3081,3,3,0,0,3053,2417,0,5,3053,2417,5,3,3,0,0,0,5481,3230,1
9,59,1952,0,0,980,505,0,0,0,1,980,505,1,0,0,0,0,0,1486,20610,1
19,56,2624,0,354,2969,1429,47,0,0,0,2969,1429,354,47,0,0,0,0,4799,1710,1
8,57,2436,0,0,726,3034,10,0,0,0,3034,726,10,0,0,0,0,0,3770,140,1
14,48,3806,5,3,0,0,0,1904,115,0,1904,115,5,3,0,0,0,0,2027,7110,0
8,58,2996,0,0,0,456,2944,89,0,0,2944,456,89,0,0,0,0,0,3489,420,1
16,50,3151,0,0,0,0,2570,2178,8,15,2570,2178,15,8,0,0,0,0,4771,8360,1
12,52,4093,57,223,1319,1301,675,107,38,16,1319,1301,675,223,107,57,38,16,3736,320,0
20,53,2194,5,5,2,3052,690,6,6,2,3052,690,6,6,5,5,2,2,3768,1830,0
7,67,2291,0,800,2673,0,0,0,0,0,2673,800,0,0,0,0,0,0,3473,430,1
17,55,3503,52,358,1158,1746,1300,441,121,25,1746,1300,1158,441,358,121,52,25,5201,580,0
17,79,2743,0,2107,85,1,14,6,6,6,2107,85,14,6,6,6,1,0,2225,1250,1
11,59,3268,587,1113,1345,3216,1326,850,599,253,3216,1345,1326,1113,850,599,587,253,9289,190,0
8,49,2289,1,7,14,17,1857,23,19,0,1857,23,19,17,14,7,1,0,1938,410,1
8,62,1973,0,3165,2384,0,1,2,1,2,3165,2384,2,2,1,1,0,0,5555,150,0
3,70,1766,7,2874,1456,7,4,6,3,3,2874,1456,7,7,6,4,3,3,4360,170,0
17,59,2386,0,0,0,1679,2205,0,0,0,2205,1679,0,0,0,0,0,0,3884,1020,1
15,57,2699,4,9,7,1,5,2211,1,0,2211,9,7,5,4,1,1,0,2238,2490,1
18,53,2061,0,5,502,2670,86,0,0,2,2670,502,86,5,2,0,0,0,3265,7040,1
13,65,2832,5,2,1,0,0,922,2361,0,2361,922,5,2,1,0,0,0,3291,2280,1
8,65,2689,0,0,0,0,1538,0,0,0,1538,0,0,0,0,0,0,0,1538,390,1
18,69,2272,3,0,0,0,1994,2726,0,0,2726,1994,3,0,0,0,0,0,4723,3270,1
16,72,2789,0,0,0,0,3339,3,0,0,3339,3,0,0,0,0,0,0,3342,500,1
6,68,1739,291,1449,10,5,3,2,2,3,1449,291,10,5,3,3,2,2,1765,130,0
4,68,1520,0,835,1733,0,2,2,2,2,1733,835,2,2,2,2,0,0,2576,110,0
8,53,2969,0,0,606,0,0,0,0,1,606,1,0,0,0,0,0,0,607,1610,0
22,54,1743,2332,2785,0,2,7,5,4,5,2785,2332,7,5,5,4,2,0,5140,140,0
0,76,1784,2032,45,5,3,3,4,4,5,2032,45,5,5,4,4,3,3,2101,150,0
10,60,3144,6,26,122,427,615,2152,583,70,2152,615,583,427,122,70,26,6,4001,430,0
0,61,1755,4,3,3,2506,5,6,5,4,2506,6,5,5,4,4,3,3,2536,110,0
7,66,2195,1,0,0,0,1503,0,0,0,1503,1,0,0,0,0,0,0,1504,340,1
18,72,2240,1,1,0,0,440,1878,2464,604,2464,1878,604,440,1,1,0,0,5388,330,0
4,59,1521,0,2610,1132,2,5,5,4,3,2610,1132,5,5,4,3,2,0,3761,110,0
11,61,3199,0,0,0,130,1877,0,0,0,1877,130,0,0,0,0,0,0,2007,350,1
11,51,4059,210,319,827,1439,1514,1287,419,169,1514,1439,1287,827,419,319,210,169,6184,1700,0
12,78,2742,846,1434,99,34,16,8,13,6,1434,846,99,34,16,13,8,6,2456,690,1
12,53,3988,51,148,1106,2101,1525,1043,262,60,2101,1525,1106,1043,262,148,60,51,6296,140,0
11,68,3344,1625,1600,1581,1093,475,92,57,33,1625,1600,1581,1093,475,92,57,33,6556,1290,0
21,54,2143,2,0,2223,3240,44,8,9,6,3240,2223,44,9,8,6,2,0,5532,2920,1
9,53,2806,0,0,0,0,970,1718,0,0,1718,970,0,0,0,0,0,0,2688,860,1
17,60,2702,0,0,2260,2890,0,0,0,3,2890,2260,3,0,0,0,0,0,5153,170,1
11,61,2960,2,3,2,4,3,0,0,1792,1792,4,3,3,2,2,0,0,1806,120,1
11,53,3535,6,12,99,294,2166,422,116,10,2166,422,294,116,99,12,10,6,3125,5090,0
10,58,2936,0,0,0,2562,1713,35,0,0,2562,1713,35,0,0,0,0,0,4310,1710,1
8,61,1962,0,3,11,8,121,2246,1344,0,2246,1344,121,11,8,3,0,0,3733,3320,1
6,69,1389,1,416,3082,116,2,4,4,5,3082,416,116,5,4,4,2,1,3630,620,0
1,64,1997,3,3,116,2423,341,0,1,1,2423,341,116,3,3,1,1,0,2888,280,1
7,64,1391,13,22,38,15,243,2518,685,8,2518,685,243,38,22,15,13,8,3542,570,0
9,61,2476,982,1173,1880,1589,1307,891,798,512,1880,1589,1307,1173,982,891,798,512,9132,140,0
16,61,3245,35,290,827,2275,1847,513,163,28,2275,1847,827,513,290,163,35,28,5978,1350,0
8,60,2332,12,22,26,29,24,718,1011,83,1011,718,83,29,26,24,22,12,1925,110,0
10,61,2851,0,0,0,0,4146,4023,0,0,4146,4023,0,0,0,0,0,0,8169,1710,1
16,87,2945,11,1,2392,4,7,8,5,10,2392,11,10,8,7,5,4,1,2438,840,0
2,76,1774,1638,42,2,3,8,5,4,4,1638,42,8,5,4,4,3,2,1706,120,0
8,60,2381,21,25,33,39,34,43,1665,356,1665,356,43,39,34,33,25,21,2216,140,0
5,69,1442,0,0,0,1,1,9,288,2218,2218,288,9,1,1,0,0,0,2517,160,0
18,68,2373,2,2,1,0,81,2297,86,0,2297,86,81,2,2,1,0,0,2469,1360,1
14,65,2561,0,2431,66,24,16,7,6,5,2431,66,24,16,7,6,5,0,2555,320,1
3,76,1755,1506,35,2,1,3,3,1,0,1506,35,3,3,2,1,1,0,1551,140,0
9,67,2749,0,0,0,0,0,0,3792,765,3792,765,0,0,0,0,0,0,4557,1650,1
19,50,2829,0,0,751,2808,1739,167,3,2,2808,1739,751,167,3,2,0,0,5470,130,1
16,64,3011,2005,545,236,96,26,13,16,15,2005,545,236,96,26,16,15,13,2952,260,0
9,54,2194,203,232,254,273,232,437,1555,3302,3302,1555,437,273,254,232,232,203,6488,150,0
20,60,2103,3,2,2,5,12,42,1564,1464,1564,1464,42,12,5,3,2,2,3094,150,0
17,60,3165,0,162,4334,2130,0,0,0,3,4334,2130,162,3,0,0,0,0,6629,1830,1
17,63,2974,0,0,2,6,6,2264,10,0,2264,10,6,6,2,0,0,0,2288,3020,1
13,61,3378,0,0,1789,2831,0,17,13,13,2831,1789,17,13,13,0,0,0,4663,3470,1
15,51,3432,0,4,5,1,2044,2052,2054,2044,2054,2052,2044,2044,5,4,1,0,8204,130,0
11,56,3529,52,355,655,3528,538,78,32,23,3528,655,538,355,78,52,32,23,5261,380,0
16,46,3068,66,1237,705,2,3,3,3,2,1237,705,66,3,3,3,2,2,2021,1000,1
17,58,3578,0,190,2517,1379,0,0,0,0,2517,1379,190,0,0,0,0,0,4086,2200,1
9,57,2301,3,4,1,39,136,1865,744,17,1865,744,136,39,17,4,3,1,2809,430,1
17,72,2825,3,2,3,2,16,237,2064,864,2064,864,237,16,3,3,2,2,3191,900,1
2,56,1654,47,3275,2247,4,3,4,5,5,3275,2247,47,5,5,4,4,3,5590,200,0
8,60,1403,2,1,3,2,1,0,639,3004,3004,639,3,2,2,1,1,0,3652,920,0
8,56,2590,1,2,0,0,0,3587,0,0,3587,2,1,0,0,0,0,0,3590,6630,0
18,59,2853,0,0,0,2428,3733,807,0,0,3733,2428,807,0,0,0,0,0,6968,150,1
6,67,1742,13,2067,601,1,4,5,3,3,2067,601,13,5,4,3,3,1,2697,1440,0
8,68,1898,0,0,0,2874,2829,0,0,0,2874,2829,0,0,0,0,0,0,5703,75880,1
9,54,2756,0,0,0,2479,583,0,0,0,2479,583,0,0,0,0,0,0,3062,410,1
19,51,2778,0,6,226,2564,1365,19,0,0,2564,1365,226,19,6,0,0,0,4180,3150,1
9,54,2321,118,94,125,175,120,147,404,1756,1756,404,175,147,125,120,118,94,2939,100,0
16,68,2658,0,0,0,89,1954,3070,116,0,3070,1954,116,89,0,0,0,0,5229,1350,0
0,65,1747,0,1840,2089,5,3,5,5,3,2089,1840,5,5,5,3,3,0,3950,160,0
23,61,1748,4,1577,1839,6,1,6,4,2,1839,1577,6,6,4,4,2,1,3439,260,0
18,55,2430,1,0,0,350,4285,4848,262,0,4848,4285,350,262,1,0,0,0,9746,3600,1
17,56,2834,6,9,8,8,6,5,1374,2300,2300,1374,9,8,8,6,6,5,3716,160,1
12,52,3841,297,680,890,1521,944,841,501,155,1521,944,890,841,680,501,297,155,5829,170,0
16,64,3083,980,1476,1350,1930,948,451,289,104,1930,1476,1350,980,948,451,289,104,7528,4630,0
17,65,3353,0,0,0,72,2421,635,0,0,2421,635,72,0,0,0,0,0,3128,390,1
8,50,2486,992,1578,2169,2337,1973,1755,1869,1395,2337,2169,1973,1869,1755,1578,1395,992,14068,2160,0
10,54,3279,36,329,1001,2011,1120,941,203,37,2011,1120,1001,941,329,203,37,36,5678,2540,0
7,67,1993,27,601,2575,1012,11,13,7,6,2575,1012,601,27,13,11,7,6,4252,1830,1
19,78,1894,0,0,2035,852,3,2,3,2,2035,852,3,3,2,2,0,0,2897,4160,1
15,66,2798,0,0,0,0,967,2802,251,0,2802,967,251,0,0,0,0,0,4020,1480,1
10,56,3446,2,3,0,0,0,1426,0,2,1426,3,2,2,0,0,0,0,1433,2290,0
20,57,2364,0,0,939,2970,0,0,0,1,2970,939,1,0,0,0,0,0,3910,1010,1
20,60,2186,2484,1436,4,4,3,3,4,3,2484,1436,4,4,4,3,3,3,3941,2660,0
17,71,3125,494,1892,432,16,2,2,3,3,1892,494,432,16,3,3,2,2,2844,630,1
15,73,2529,0,102,2634,1622,9,0,0,0,2634,1622,102,9,0,0,0,0,4367,6080,1
7,50,1997,1,0,0,0,607,2480,0,0,2480,607,1,0,0,0,0,0,3088,550,1
10,65,2624,413,2816,346,3,1,0,0,0,2816,413,346,3,1,0,0,0,3579,4590,1
11,68,2741,213,355,516,1578,1932,644,439,285,1932,1578,644,516,439,355,285,213,5962,150,0
10,77,1826,1625,13,0,0,1,4,1,1,1625,13,4,1,1,1,0,0,1645,300,0
19,58,2197,0,1,2713,0,0,0,0,0,2713,1,0,0,0,0,0,0,2714,3170,1
16,59,3234,0,0,114,2654,254,0,0,1,2654,254,114,1,0,0,0,0,3023,520,1
18,54,3056,2,0,0,2202,0,2,4,6,2202,6,4,2,2,0,0,0,2216,18260,1
14,70,2631,2,4,10,10,1098,4054,17,0,4054,1098,17,10,10,4,2,0,5195,280,1
11,64,2953,0,0,0,1625,52,0,0,0,1625,52,0,0,0,0,0,0,1677,600,1
13,55,2211,1497,1711,1519,1458,1418,1674,1825,1992,1992,1825,1711,1674,1519,1497,1458,1418,13094,35950,0
16,60,3807,0,0,0,1985,1402,0,0,0,1985,1402,0,0,0,0,0,0,3387,310,1
18,65,2410,1,0,0,60,2169,2084,0,0,2169,2084,60,1,0,0,0,0,4314,3760,1
13,52,3092,4,7,755,2795,182,168,13,6,2795,755,182,168,13,7,6,4,3930,3810,0
10,56,3273,649,756,1374,1670,2020,1651,1372,909,2020,1670,1651,1374,1372,909,756,649,10401,720,0
9,62,2050,0,0,203,3001,1446,1,3,5,3001,1446,203,5,3,1,0,0,4659,2580,0
8,66,2544,0,1247,291,0,14,57,57,34,1247,291,57,57,34,14,0,0,1700,150,0
15,70,2521,1,3,3,3,0,0,2180,225,2180,225,3,3,3,1,0,0,2415,520,1
12,50,3516,0,0,3072,234,14,13,21,11,3072,234,21,14,13,11,0,0,3365,2710,1
18,60,2777,0,0,102,1608,0,0,1,1,1608,102,1,1,0,0,0,0,1712,13750,1
2,67,1665,1,1,1,1,1,4,251,1442,1442,251,4,1,1,1,1,1,1702,170,0
6,62,1196,2,2845,597,3,7,5,6,4,2845,597,7,6,5,4,3,2,3469,3390,1
15,60,2515,2,0,0,0,1994,334,2,1,1994,334,2,2,1,0,0,0,2333,1200,1
12,50,3774,231,352,1295,1094,490,507,101,17,1295,1094,507,490,352,231,101,17,4087,880,0
15,70,2637,0,0,2152,918,0,0,0,0,2152,918,0,0,0,0,0,0,3070,130,1
10,54,3402,0,0,0,229,2495,0,0,0,2495,229,0,0,0,0,0,0,2724,1490,1
14,58,3981,837,1492,1481,1062,751,194,95,36,1492,1481,1062,837,751,194,95,36,5948,8550,0
20,56,1973,0,0,1141,2934,90,0,2,0,2934,1141,90,2,0,0,0,0,4167,2960,1
14,61,3534,625,894,1586,959,592,293,203,89,1586,959,894,625,592,293,203,89,5241,760,0
5,63,1658,6,3,4,0,5,25,2659,2681,2681,2659,25,6,5,4,3,0,5383,5970,0
10,62,3461,351,2440,0,0,0,0,0,0,2440,351,0,0,0,0,0,0,2791,1140,1
3,76,1766,1786,36,2,1,3,2,2,2,1786,36,3,2,2,2,2,1,1834,560,0
8,60,2332,1266,1458,1081,594,501,389,361,231,1458,1266,1081,594,501,389,361,231,5881,610,0
12,63,3176,505,449,780,638,1046,1118,61,28,1118,1046,780,638,505,449,61,28,4625,4730,0
22,61,1814,2,4,27,429,1494,1575,281,2,1575,1494,429,281,27,4,2,2,3814,2270,0
17,68,3118,4,0,2,0,0,101,2380,23,2380,101,23,4,2,0,0,0,2510,380,1
19,56,2891,0,14,2380,0,0,3,4,3,2380,14,4,3,3,0,0,0,2404,1800,1
18,47,3381,0,2648,613,0,2,4,5,4,2648,613,5,4,4,2,0,0,3276,5760,0
7,59,1383,3,2,4,4,2,1,843,3030,3030,843,4,4,3,2,2,1,3889,280,0
8,54,2812,0,217,2015,647,0,3,10,6,2015,647,217,10,6,3,0,0,2898,60770,1
12,64,2908,8,14,3252,1210,44,45,43,44,3252,1210,45,44,44,43,14,8,4660,1380,1
19,47,2057,2,2,1,1,0,763,2342,180,2342,763,180,2,2,1,1,0,3291,11310,1
11,60,3121,0,680,2969,0,0,0,0,8,2969,680,8,0,0,0,0,0,3657,6830,1
0,65,1748,0,1519,2013,2,3,3,3,2,2013,1519,3,3,3,2,2,0,3545,180,0
10,77,1804,1227,47,2,2,2,5,1,3,1227,47,5,3,2,2,2,1,1289,150,0
20,54,2211,1,0,0,2725,1021,0,2,3,2725,1021,3,2,1,0,0,0,3752,3810,1
22,58,1969,3,4,2,0,2586,1291,1,3,2586,1291,4,3,3,2,1,0,3890,5590,1
13,61,3026,1094,1519,1762,1818,1686,1623,1532,1179,1818,1762,1686,1623,1532,1519,1179,1094,12213,2140,0
11,68,2293,0,0,0,0,1321,2593,4,0,2593,1321,4,0,0,0,0,0,3918,150,1
4,68,1564,2,2,2,2,0,0,226,1582,1582,226,2,2,2,2,0,0,1816,460,0
13,60,1700,6,2743,288,32,37,15,16,7,2743,288,37,32,16,15,7,6,3144,410,0
23,56,1968,5,0,4435,682,4,10,10,12,4435,682,12,10,10,5,4,0,5158,8940,1
0,61,1759,4,2,1,2,0,0,2814,2644,2814,2644,4,2,2,1,0,0,5467,210,0
9,69,2465,1426,1303,1997,1729,1401,1006,878,531,1997,1729,1426,1401,1303,1006,878,531,10271,65840,0
16,86,3061,0,0,689,4,2,0,0,0,689,4,2,0,0,0,0,0,695,210,0
15,49,3432,2,4,3,4,0,1320,1,1,1320,4,4,3,2,1,1,0,1335,1660,0
6,63,1752,5,5,1,0,0,0,2711,2622,2711,2622,5,5,1,0,0,0,5344,230,0
13,65,2889,0,0,0,684,2652,2389,391,34,2652,2389,684,391,34,0,0,0,6150,6890,1
1,64,1898,0,3085,1752,0,2,5,4,3,3085,1752,5,4,3,2,0,0,4851,710,0
8,62,2437,0,2,1,0,0,1,44,1691,1691,44,2,1,1,0,0,0,1739,260,1
9,55,2878,296,578,657,1873,1001,683,441,241,1873,1001,683,657,578,441,296,241,5770,4080,0
12,55,2657,0,0,0,0,1312,3188,16,0,3188,1312,16,0,0,0,0,0,4516,430,0
18,59,2838,0,0,0,1176,2019,0,0,0,2019,1176,0,0,0,0,0,0,3195,6250,1
18,58,2831,0,0,1715,12,0,0,0,0,1715,12,0,0,0,0,0,0,1727,730,1
9,61,2469,9,28,74,20,0,233,2182,971,2182,971,233,74,28,20,9,0,3517,1450,1
9,49,3301,0,1679,1392,0,0,0,0,0,1679,1392,0,0,0,0,0,0,3071,880,1
5,73,1877,2,4,2,1,0,39,1922,740,1922,740,39,4,2,2,1,0,2710,310,0
16,46,3129,107,1132,3015,3201,1155,0,16,15,3201,3015,1155,1132,107,16,15,0,8641,3620,0
18,58,2349,9,5,2,3284,3,4,4,4,3284,9,5,4,4,4,3,2,3315,1510,1
20,58,2634,1,0,0,2841,4804,25,1,0,4804,2841,25,1,1,0,0,0,7672,930,1
9,58,2977,0,0,0,0,0,0,1718,1966,1966,1718,0,0,0,0,0,0,3684,370,1
9,54,3030,0,0,0,11,2197,0,0,0,2197,11,0,0,0,0,0,0,2208,570,1
19,64,1927,2,0,3938,25,3,2,5,2,3938,25,5,3,2,2,2,0,3977,2830,1
13,69,3180,51,684,2331,1674,1883,345,82,25,2331,1883,1674,684,345,82,51,25,7075,570,0
9,68,2823,633,939,1282,1179,1242,821,541,262,1282,1242,1179,939,821,633,541,262,6899,210,0
8,62,2706,903,1133,1407,1413,1003,668,454,239,1413,1407,1133,1003,903,668,454,239,7220,230,0
16,54,4209,0,0,0,0,3151,1967,0,0,3151,1967,0,0,0,0,0,0,5118,540,1
12,58,3487,0,63,3404,1602,0,0,0,0,3404,1602,63,0,0,0,0,0,5069,1110,1
8,54,2700,1,0,5,0,0,0,1471,0,1471,5,1,0,0,0,0,0,1477,710,1
5,57,1816,2,3,2,1,0,363,1977,0,1977,363,3,2,2,1,0,0,2348,970,0
6,57,1360,55,3492,2777,0,2,3,2,5,3492,2777,55,5,3,2,2,0,6336,2720,0
6,57,1772,2,2,4,2,0,626,1771,1,1771,626,4,2,2,2,1,0,2408,250,0
11,50,4088,32,193,453,902,1835,1622,1149,274,1835,1622,1149,902,453,274,193,32,6460,2050,0
14,60,1685,3,6,5,1,3,7,0,2261,2261,7,6,5,3,3,1,0,2286,930,1
16,62,3443,592,1005,1206,594,325,63,31,11,1206,1005,594,592,325,63,31,11,3827,160,0
11,59,3263,0,0,0,1726,323,0,0,0,1726,323,0,0,0,0,0,0,2049,3820,1
6,55,1642,15,2863,268,5,9,4,6,5,2863,268,15,9,6,5,5,4,3175,900,0
19,70,2477,0,45,3027,126,5,4,4,5,3027,126,45,5,5,4,4,0,3216,900,1
19,53,3148,0,16,2277,862,0,0,1,0,2277,862,16,1,0,0,0,0,3156,1820,1
6,55,1682,0,2157,751,0,5,3,3,1,2157,751,5,3,3,1,0,0,2920,500,0
12,71,1939,0,3063,1154,0,4,6,5,4,3063,1154,6,5,4,4,0,0,4236,130,0
17,59,2999,0,0,0,736,2660,61,0,0,2660,736,61,0,0,0,0,0,3457,260,1
14,71,2665,0,0,0,771,3215,647,0,0,3215,771,647,0,0,0,0,0,4633,1870,1
9,54,3158,0,4,14,0,0,0,1673,3013,3013,1673,14,4,0,0,0,0,4704,240,1
12,72,1802,0,2758,896,5,8,10,8,4,2758,896,10,8,8,5,4,0,3689,170,0
18,54,2952,0,0,1248,1854,0,0,0,0,1854,1248,0,0,0,0,0,0,3102,1530,1
14,48,3866,3,3,3,6,2,1,1201,4,1201,6,4,3,3,3,2,1,1223,1760,0
21,56,2139,5,5,1,1132,2470,0,3,4,2470,1132,5,5,4,3,1,0,3620,740,1
9,53,3540,0,0,0,0,65,2193,0,0,2193,65,0,0,0,0,0,0,2258,690,1
12,63,2631,1358,1399,1551,1535,1577,1498,1323,1043,1577,1551,1535,1498,1399,1358,1323,1043,11284,100,0
18,53,2315,1,2,2,3,0,0,2099,0,2099,3,2,2,1,0,0,0,2107,1730,0
17,61,2890,79,338,1413,2780,568,134,34,9,2780,1413,568,338,134,79,34,9,5355,3280,0
11,58,3613,0,0,49,341,1841,1056,38,0,1841,1056,341,49,38,0,0,0,3325,1080,1
11,62,2865,0,0,2173,3193,734,0,13,14,3193,2173,734,14,13,0,0,0,6127,2240,1
12,49,3983,10,0,10,6,0,431,531,0,531,431,10,10,6,0,0,0,988,360,0
19,70,1797,0,0,1122,2828,2,0,1,0,2828,1122,2,1,0,0,0,0,3953,2460,1
19,56,2652,0,0,259,2810,57,3,6,5,2810,259,57,6,5,3,0,0,3140,1440,1
3,70,1786,4,3,3,4,0,46,2489,0,2489,46,4,4,3,3,0,0,2549,340,0
9,61,2990,915,1090,1998,2007,1956,1581,1341,847,2007,1998,1956,1581,1341,1090,915,847,11735,1120,0
7,67,2208,0,5,25,34,1062,2764,261,0,2764,1062,261,34,25,5,0,0,4151,100,1
20,66,2014,2,3,1,0,453,1833,26,1,1833,453,26,3,2,1,1,0,2319,1220,1
8,51,2291,22,55,156,339,1584,926,179,103,1584,926,339,179,156,103,55,22,3364,510,0
5,69,1409,77,120,1774,31,1,4,2,2,1774,120,77,31,4,2,2,1,2011,110,0
2,56,1588,0,1932,1950,0,0,1,1,2,1950,1932,2,1,1,0,0,0,3886,190,0
8,66,2112,3,6,4,0,0,0,2497,0,2497,6,4,3,0,0,0,0,2510,500,1
11,49,3488,450,1057,1172,302,154,77,10,6,1172,1057,450,302,154,77,10,6,3228,2840,0
11,58,3444,0,0,0,0,0,256,3178,1052,3178,1052,256,0,0,0,0,0,4486,580,1
4,68,1564,3,0,1,1,0,0,223,1600,1600,223,3,1,1,0,0,0,1828,370,0
9,60,2580,642,698,1109,1148,1266,1181,1531,985,1531,1266,1181,1148,1109,985,698,642,8560,830,0
8,56,2891,0,0,0,4358,0,0,0,0,4358,0,0,0,0,0,0,0,4358,130,1
18,72,2310,0,0,0,158,2945,2096,0,0,2945,2096,158,0,0,0,0,0,5199,560,0
8,65,2419,0,0,0,10,1822,9,7,0,1822,10,9,7,0,0,0,0,1848,530,1
16,57,2634,30,1777,138,0,0,0,2,2,1777,138,30,2,2,0,0,0,1949,920,1
13,53,3185,0,0,0,74,1320,1586,741,8,1586,1320,741,74,8,0,0,0,3729,2120,1
10,56,3525,49,200,594,832,1012,1527,885,460,1527,1012,885,832,594,460,200,49,5559,7540,0
19,65,2101,2364,1581,24,2,1,2,2,1,2364,1581,24,2,2,2,1,1,3977,4180,1
6,59,1400,0,2508,392,3,3,5,6,5,2508,392,6,5,5,3,3,0,2922,140,0
17,72,2905,1382,0,0,0,0,1,0,0,1382,1,0,0,0,0,0,0,1383,120,1
16,47,3330,1,0,1,0,2,0,727,745,745,727,2,1,1,0,0,0,1476,3450,0
6,59,1412,0,2703,848,2,4,5,4,3,2703,848,5,4,4,3,2,0,3569,950,0
16,60,3828,0,0,0,585,1784,0,0,0,1784,585,0,0,0,0,0,0,2369,900,1
19,54,2613,0,2,2544,799,0,1,0,2,2544,799,2,2,1,0,0,0,3348,430,1
15,63,2905,0,0,0,0,185,2363,0,0,2363,185,0,0,0,0,0,0,2548,8810,1
7,65,2174,4,0,19,33,60,916,2744,0,2744,916,60,33,19,4,0,0,3776,100,1
7,77,1776,1751,27,1,2,1,3,3,2,1751,27,3,3,2,2,1,1,1790,2160,0
19,59,2457,3,2,2,2,1,315,2253,503,2253,503,315,3,2,2,2,1,3081,5550,1
22,64,1786,0,954,1801,26,4,2,2,4,1801,954,26,4,4,2,2,0,2793,110,0
4,70,1759,8,3063,1396,2,5,7,5,4,3063,1396,8,7,5,5,4,2,4490,120,0
9,77,1826,1888,82,14,9,12,5,4,6,1888,82,14,12,9,6,5,4,2020,140,0
2,67,1747,10,2071,541,1,1,2,2,2,2071,541,10,2,2,2,1,1,2630,170,0
23,58,1302,4,194,1120,1372,0,20,4,4,1372,1120,194,20,4,4,4,0,2718,140,1
2,70,1787,9,2522,1663,30,5,5,4,4,2522,1663,30,9,5,5,4,4,4242,120,0
6,59,1396,0,2628,648,3,2,3,3,3,2628,648,3,3,3,3,2,0,3290,130,0
13,58,3235,4,0,6,2,1765,2310,376,0,2310,1765,376,6,4,2,0,0,4463,450,1
21,60,1938,0,0,80,483,1718,1375,191,1,1718,1375,483,191,80,1,0,0,3848,1920,0
11,81,2801,0,1844,169,0,0,0,0,0,1844,169,0,0,0,0,0,0,2013,1490,1
8,66,2546,0,0,18,25,4,2500,1498,0,2500,1498,25,18,4,0,0,0,4045,310,1
10,54,2417,107,111,121,138,153,1014,2375,3,2375,1014,153,138,121,111,107,3,4022,120,0
17,65,2716,1,6,8,9,1068,3043,7,0,3043,1068,9,8,7,6,1,0,4142,1390,1
12,52,4093,190,554,2359,804,295,69,26,14,2359,804,554,295,190,69,26,14,4311,110,0
18,59,3103,0,0,0,0,13,2749,1289,0,2749,1289,13,0,0,0,0,0,4051,840,1
17,52,2850,2,0,2371,2892,1,4,5,2,2892,2371,5,4,2,2,1,0,5277,110,1
6,67,1843,33,1380,1182,18,3,3,4,3,1380,1182,33,18,4,3,3,3,2626,130,0
9,72,2320,1,0,0,0,0,3813,0,0,3813,1,0,0,0,0,0,0,3814,320,1
19,75,2152,2,5,4,2,306,2992,718,58,2992,718,306,58,5,4,2,2,4087,3240,1
23,65,1753,5,1580,1022,2,2,2,1,1,1580,1022,5,2,2,2,1,1,2615,100,0
14,55,3005,0,0,913,3251,232,5,0,2,3251,913,232,5,2,0,0,0,4403,4650,0
22,60,1928,4,4,3,4,11,41,1494,1408,1494,1408,41,11,4,4,4,3,2969,2450,0
6,74,1585,3,4,6,3,5,0,243,2070,2070,243,6,5,4,3,3,0,2334,1090,0
11,51,3909,0,0,0,880,1788,18,112,30,1788,880,112,30,18,0,0,0,2828,190,0
